ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3198,2023,22-24,Masculino,Branca,RJ,Sudeste,Graduação,Engenharia,Sim,Outra Opção,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
ID3199,2023,25-29,Feminino,Branca,RJ,Sudeste,Graduação,Engenharia,Sim,Tecnologia,Não,Analista de Negócios,Sênior,10000,5 a 6 anos
ID3200,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Engenharia,Sim,Outra Opção,Não,Engenheiro de Dados,Sênior,14000,4 a 6 anos
ID3201,2023,35-39,Feminino,Branca,RS,Sul,Pós-graduação,Tecnologia,Sim,Indústria,Não,Engenheiro de Dados,Júnior,5000,1 a 2 anos
ID3202,2023,30-34,Masculino,Branca,PR,Sul,Graduação,Negócios,Sim,Indústria,Não,Analista de BI,Pleno,7000,4 a 6 anos
ID3203,2023,30-34,Masculino,Branca,RS,Sul,Mestrado,Tecnologia,Sim,Finanças ou Bancos,Sim,Supervisor,Não Declarou,14000,7 a 10 anos
ID3204,2023,40-44,Masculino,Parda,PR,Sul,Pós-graduação,Negócios,Sim,Área de Consultoria,Não,Analista de Suporte,Júnior,2500,7 a 10 anos
ID3205,2023,25-29,Feminino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Outra Opção,Sim,Supervisor,Não Declarou,14000,4 a 6 anos
ID3206,2023,30-34,Feminino,Parda,SP,Sudeste,Pós-graduação,Engenharia,Sim,Indústria,Não,Cientista de Dados,Sênior,14000,4 a 6 anos
ID3207,2023,45-49,Masculino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Setor Automotivo,Não,Analista de Suporte,Sênior,10000,Menos 1 ano
ID3208,2023,25-29,Masculino,Branca,DF,Centro-oeste,Pós-graduação,Ciências Sociais,Sim,Tecnologia,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
ID3209,2023,25-29,Masculino,Branca,ES,Sudeste,Pós-graduação,Engenharia,Sim,Tecnologia,Sim,Team Leader,Não Declarou,10000,3 a 4 anos
